iter	RMSE
0	146.4679094
1	138.8699515
2	131.7078418
3	124.983227
4	118.5023736
5	112.393202
6	106.5792631
7	101.0970477
8	95.92371862
9	91.02147381
10	86.44438535
11	82.11452331
12	77.85910525
13	73.95649937
14	70.23447787
15	66.66534939
16	63.28467887
17	60.06829463
18	57.0200792
19	54.06283968
20	51.34472687
21	48.73005844
22	46.25014645
23	43.91659931
24	41.68026886
25	39.59418216
26	37.67998291
27	35.79993799
28	34.03285149
29	32.36486644
30	30.80180654
31	29.25081826
32	27.85547932
33	26.50964243
34	25.19529926
35	23.97896856
36	22.83482984
37	21.72723934
38	20.65710585
39	19.67414994
40	18.73057175
41	17.83444467
42	16.9932445
43	16.19651221
44	15.45332311
45	14.73659358
46	14.07621829
47	13.45306069
48	12.87138716
49	12.3138002
50	11.78742557
51	11.28451467
52	10.82332592
53	10.38404401
54	9.966692183
55	9.578271763
56	9.216078922
57	8.86698536
58	8.539063404
59	8.239736037
60	7.956433488
61	7.681690412
62	7.427109083
63	7.202391906
64	6.985555982
65	6.771474072
66	6.578080657
67	6.401197679
68	6.230808132
69	6.075619545
70	5.929941907
71	5.792580476
72	5.663544585
73	5.549818154
74	5.443836453
75	5.340832943
76	5.242760442
77	5.156842191
78	5.074935091
79	4.998176907
80	4.931063859
81	4.869223252
82	4.81279372
83	4.754934471
84	4.704110789
85	4.653383738
86	4.608441588
87	4.565960748
88	4.523841753
89	4.487963602
90	4.452854406
91	4.422981212
92	4.387646947
93	4.361056653
94	4.331622621
95	4.303820185
96	4.282789323
97	4.256228137
98	4.231992889
99	4.214036163
100	4.194969491
101	4.179470727
102	4.160277415
103	4.138944074
104	4.123307409
105	4.111845173
106	4.096643635
107	4.084721972
108	4.068572818
109	4.059491844
110	4.047610775
111	4.0328468
112	4.024255863
113	4.013907169
114	4.008372342
115	3.998785594
116	3.990228414
117	3.98297692
118	3.975674463
119	3.970159201
120	3.962089125
121	3.950522165
122	3.936538439
123	3.923301639
124	3.918334601
125	3.909906967
126	3.905432623
127	3.891249056
128	3.881806676
129	3.878362398
130	3.87426751
131	3.870656632
132	3.861628904
133	3.856461541
134	3.85019547
135	3.846809484
136	3.839972351
137	3.834504672
138	3.827745952
139	3.818883014
140	3.815403558
141	3.812982662
142	3.804933103
143	3.798695726
144	3.792184962
145	3.789034258
146	3.779718967
147	3.768684778
148	3.761242342
149	3.759351524
150	3.756617343
151	3.751681926
152	3.743537661
153	3.736698006
154	3.730223459
155	3.723964188
156	3.721723015
157	3.71424457
158	3.712838434
159	3.701151202
160	3.69864885
161	3.696325849
162	3.68859852
163	3.685862823
164	3.683244754
165	3.672696712
166	3.669230555
167	3.664810925
168	3.663068678
169	3.661683091
170	3.65604033
171	3.64835309
172	3.641562625
173	3.639553353
174	3.633782997
175	3.625853258
176	3.623988929
177	3.622039693
178	3.613466624
179	3.607241643
180	3.606048307
181	3.596700822
182	3.587664171
183	3.582050768
184	3.577669377
185	3.571008148
186	3.563305811
187	3.555136263
188	3.548540939
189	3.543786096
190	3.537336893
191	3.531305297
192	3.524267078
193	3.5169998
194	3.515979793
195	3.509505556
196	3.504406902
197	3.490412902
198	3.48829035
199	3.481436752
200	3.478617119
201	3.470295062
202	3.462626209
203	3.457242208
204	3.451403034
205	3.445893306
206	3.443873021
207	3.437216186
208	3.430922951
209	3.426351913
210	3.421945295
211	3.412259533
212	3.405606306
213	3.398558929
214	3.397587805
215	3.392696235
216	3.383624881
217	3.382602058
218	3.379134804
219	3.376436859
220	3.370919919
221	3.369836286
222	3.367753474
223	3.363330452
224	3.359300901
225	3.354528739
226	3.353518764
227	3.349104928
228	3.347397734
229	3.339197291
230	3.332626361
231	3.328468922
232	3.325963104
233	3.321901213
234	3.315376945
235	3.313224778
236	3.309581777
237	3.307852308
238	3.304780708
239	3.30291683
240	3.298567779
241	3.296910499
242	3.293319995
243	3.291819372
244	3.28836223
245	3.285664567
246	3.281722845
247	3.275154759
248	3.273444949
249	3.268513526
250	3.265225165
251	3.259184487
252	3.257673255
253	3.25527731
254	3.251122381
255	3.250007886
256	3.245058445
257	3.241967491
258	3.239492636
259	3.238730398
260	3.234235631
261	3.224910098
262	3.221093936
263	3.219063933
264	3.218316179
265	3.216425613
266	3.213324652
267	3.211284208
268	3.202929831
269	3.201347182
270	3.198440706
271	3.196501679
272	3.192949827
273	3.186940105
274	3.184261699
275	3.182154029
276	3.180926639
277	3.177883178
278	3.174495593
279	3.17254044
280	3.168440776
281	3.16083327
282	3.159405942
283	3.158118976
284	3.156294714
285	3.151992933
286	3.148773587
287	3.144954387
288	3.139767711
289	3.13475046
290	3.130696533
291	3.128933107
292	3.125946946
293	3.123120341
294	3.119324393
295	3.112654838
296	3.10862387
297	3.10584429
298	3.102416343
299	3.101186533
300	3.099827212
301	3.096654477
302	3.095003716
303	3.091940267
304	3.088739048
305	3.086922128
306	3.083702778
307	3.080363409
308	3.074230037
309	3.073564413
310	3.0709782
311	3.068420608
312	3.063439354
313	3.057967059
314	3.056787853
315	3.054137135
316	3.052168874
317	3.049636855
318	3.046662094
319	3.044391335
320	3.043750402
321	3.042766135
322	3.041677612
323	3.040583079
324	3.039973677
325	3.036811232
326	3.032751075
327	3.031188802
328	3.02950339
329	3.027560618
330	3.024458157
331	3.0234278
332	3.018114725
333	3.015178967
334	3.012185631
335	3.010431748
336	3.009142124
337	3.006861633
338	3.001793064
339	2.99805453
340	2.996749131
341	2.992375514
342	2.991406663
343	2.988122996
344	2.985614377
345	2.982342647
346	2.981312677
347	2.97853247
348	2.977306018
349	2.973524278
350	2.971471835
351	2.969174428
352	2.966579686
353	2.965302246
354	2.964096992
355	2.963189136
356	2.959755146
357	2.954819071
358	2.951654456
359	2.949550626
360	2.946158208
361	2.94488377
362	2.943055502
363	2.939239582
364	2.93572607
365	2.931388684
366	2.927958139
367	2.925342861
368	2.923278824
369	2.920446042
370	2.916009369
371	2.913930749
372	2.909825122
373	2.905589628
374	2.901643519
375	2.899630932
376	2.89735703
377	2.894620962
378	2.893604677
379	2.888980545
380	2.88692757
381	2.88397059
382	2.881110727
383	2.879299689
384	2.877418542
385	2.87316107
386	2.871369163
387	2.867357352
388	2.865457418
389	2.864574851
390	2.863073239
391	2.860123877
392	2.858133721
393	2.854219346
394	2.851854472
395	2.849820747
396	2.847652467
397	2.844950712
398	2.841913247
399	2.839438317
400	2.836297303
401	2.834418503
402	2.832860035
403	2.830746492
404	2.828796429
405	2.824390812
406	2.822510026
407	2.820896046
408	2.818343053
409	2.816632589
410	2.815079618
411	2.812406504
412	2.810369654
413	2.807432911
414	2.805675276
415	2.801961182
416	2.801117754
417	2.79816611
418	2.796252085
419	2.793039503
420	2.791244459
421	2.789485073
422	2.786593887
423	2.78449979
424	2.782562506
425	2.780986157
426	2.77926929
427	2.776889957
428	2.774968545
429	2.773179298
430	2.771726187
431	2.770557919
432	2.767113743
433	2.764747429
434	2.763913648
435	2.760319794
436	2.758588839
437	2.756275016
438	2.754294966
439	2.752903864
440	2.750917309
441	2.749353677
442	2.746931589
443	2.744323563
444	2.740925188
445	2.738560778
446	2.7369387
447	2.735290902
448	2.733666401
449	2.732688078
450	2.729509989
451	2.728070256
452	2.72620104
453	2.725291608
454	2.723845297
455	2.722540578
456	2.721510703
457	2.719994842
458	2.718645004
459	2.717839533
460	2.715718191
461	2.712835094
462	2.71198971
463	2.709461096
464	2.708651257
465	2.706899742
466	2.705400856
467	2.704770361
468	2.701577122
469	2.699728473
470	2.695704612
471	2.694011019
472	2.693243503
473	2.692541203
474	2.690339554
475	2.687257437
476	2.685705134
477	2.682679763
478	2.681124384
479	2.679692287
480	2.678415313
481	2.676822734
482	2.675483103
483	2.673288813
484	2.671722946
485	2.67051833
486	2.668843593
487	2.666750738
488	2.66564545
489	2.663515785
490	2.662537609
491	2.660107741
492	2.658798082
493	2.657790497
494	2.657247488
495	2.656321302
496	2.654513269
497	2.652951568
498	2.650550923
499	2.648218175
500	2.647338515
501	2.645821662
502	2.643448225
503	2.642617479
504	2.640250581
505	2.637488053
506	2.634761383
507	2.632286163
508	2.629521268
509	2.628625652
510	2.627042115
511	2.626417198
512	2.624110268
513	2.622733939
514	2.620633905
515	2.61947422
516	2.618682523
517	2.617664162
518	2.615650886
519	2.614901137
520	2.61227289
521	2.610486534
522	2.608391464
523	2.606664478
524	2.604734767
525	2.60334457
526	2.601459311
527	2.600748141
528	2.597111687
529	2.595123124
530	2.594284315
531	2.593334126
532	2.590390103
533	2.588350178
534	2.584950851
535	2.583203485
536	2.582561263
537	2.579490829
538	2.576806203
539	2.57518906
540	2.572641794
541	2.571270087
542	2.568849434
543	2.567177256
544	2.564964798
545	2.56218339
546	2.560996399
547	2.559227025
