iter	Passed	Remaining
0	136	136314
1	140	70185
2	144	48020
3	148	37060
4	153	30600
5	158	26301
6	162	23097
7	166	20641
8	170	18728
9	173	17150
10	176	15865
11	180	14859
12	183	13945
13	186	13162
14	189	12467
15	192	11859
16	195	11317
17	198	10826
18	201	10383
19	204	9999
20	206	9635
21	209	9301
22	212	9020
23	215	8753
24	218	8509
25	220	8274
26	223	8060
27	226	7859
28	229	7667
29	232	7507
30	235	7350
31	237	7198
32	240	7051
33	243	6920
34	246	6789
35	248	6661
36	251	6551
37	254	6437
38	256	6332
39	259	6230
40	262	6136
41	264	6043
42	267	5950
43	270	5874
44	273	5797
45	275	5722
46	278	5647
47	281	5576
48	283	5506
49	286	5438
50	288	5377
51	292	5324
52	294	5265
53	297	5208
54	299	5154
55	302	5101
56	305	5052
57	308	5002
58	310	4954
59	313	4904
60	315	4859
61	318	4813
62	321	4776
63	323	4737
64	326	4695
65	329	4655
66	331	4617
67	334	4581
68	337	4547
69	339	4511
70	342	4476
71	344	4440
72	346	4405
73	349	4374
74	352	4341
75	354	4311
76	357	4280
77	359	4249
78	361	4219
79	364	4191
80	366	4163
81	369	4136
82	372	4110
83	374	4086
84	377	4060
85	379	4035
86	382	4012
87	384	3988
88	387	3964
89	389	3940
90	392	3916
91	394	3895
92	397	3872
93	399	3850
94	402	3830
95	404	3810
96	406	3788
97	409	3769
98	411	3748
99	414	3728
100	416	3708
101	419	3690
102	421	3673
103	424	3657
104	426	3639
105	429	3621
106	431	3605
107	434	3588
108	436	3569
109	439	3554
110	442	3541
111	444	3526
112	447	3515
113	450	3502
114	453	3488
115	456	3475
116	458	3460
117	461	3445
118	463	3430
119	465	3415
120	468	3402
121	470	3388
122	473	3374
123	475	3361
124	478	3347
125	480	3334
126	483	3322
127	485	3310
128	488	3298
129	490	3285
130	493	3275
131	496	3264
132	499	3253
133	501	3243
134	504	3231
135	506	3219
136	509	3208
137	511	3197
138	514	3188
139	517	3177
140	519	3166
141	522	3156
142	524	3144
143	527	3136
144	530	3127
145	533	3118
146	535	3108
147	538	3098
148	540	3088
149	543	3078
150	545	3067
151	548	3058
152	550	3048
153	553	3038
154	555	3029
155	558	3020
156	560	3010
157	563	3001
158	565	2991
159	568	2982
160	570	2972
161	573	2964
162	575	2956
163	578	2947
164	580	2938
165	583	2930
166	585	2922
167	588	2914
168	591	2906
169	593	2898
170	596	2890
171	598	2882
172	601	2874
173	603	2866
174	606	2858
175	608	2850
176	611	2842
177	613	2834
178	616	2827
179	619	2820
180	621	2812
181	624	2805
182	626	2797
183	629	2791
184	631	2783
185	634	2778
186	637	2771
187	640	2764
188	642	2756
189	644	2749
190	647	2742
191	650	2735
192	652	2728
193	655	2721
194	657	2714
195	659	2706
196	662	2699
197	664	2693
198	667	2686
199	669	2679
200	672	2672
201	674	2665
202	677	2659
203	679	2653
204	682	2646
205	684	2639
206	687	2633
207	689	2627
208	692	2620
209	694	2613
210	697	2607
211	699	2600
212	702	2594
213	704	2588
214	707	2582
215	709	2576
216	712	2569
217	714	2563
218	716	2556
219	719	2550
220	721	2544
221	724	2538
222	726	2531
223	729	2525
224	731	2519
225	733	2513
226	736	2506
227	738	2501
228	741	2495
229	743	2489
230	746	2483
231	748	2478
232	751	2473
233	754	2469
234	757	2464
235	759	2459
236	762	2454
237	765	2450
238	767	2445
239	770	2439
240	772	2434
241	775	2429
242	777	2423
243	780	2417
244	782	2412
245	785	2406
246	788	2402
247	790	2397
248	793	2392
249	795	2387
250	798	2382
251	800	2377
252	803	2372
253	805	2366
254	808	2361
255	810	2355
256	813	2350
257	815	2345
258	818	2340
259	820	2334
260	822	2329
261	825	2324
262	827	2319
263	830	2314
264	832	2308
265	834	2303
266	837	2298
267	839	2293
268	842	2288
269	844	2283
270	847	2278
271	849	2273
272	851	2268
273	854	2263
274	856	2258
275	859	2254
276	861	2249
277	864	2244
278	866	2239
279	869	2235
280	871	2230
281	874	2225
282	876	2221
283	879	2216
284	881	2212
285	884	2207
286	886	2202
287	889	2198
288	892	2194
289	894	2190
290	897	2186
291	899	2181
292	902	2177
293	904	2172
294	907	2168
295	909	2163
296	912	2159
297	914	2154
298	917	2150
